,x,T
,0.013735,1973.344
,0.019101,2073.662
,0.023725,2174.468
,0.028844,2274.786
,0.037421,2373.644
,0.047478,2472.996
,0.185979,2472.376
,0.208757,2373.109
,0.218944,2273.81
,0.220245,2173.02
,0.223519,2072.724
,0.226794,1973.406
