,x,T
,0.021446,1987.804
,0.028264,2025.527
,0.039714,2120.226
,0.08881,2170.62
,0.096221,2211.588
,0.217452,2211.475
,0.246926,2170.191
,0.329337,2120.114
,0.366863,2025.534
,0.408721,1987.117
