x,T
0.009736,612.69
0.011621,644.5
0.013819,673.42
0.016332,708.85
0.019472,747.89
0.024183,779.7
0.030779,808.62
0.038003,823.08
0.136935,612.69
0.131281,644.5
0.125628,673.42
0.117148,708.85
0.10804,747.89
0.097048,779.7
0.08103,808.62
0.068781,823.08
