Index,x1,x2,T
0,0.012709,0.286686,979.547
1,0.0147,0.281476,1000.085
2,0.015707,0.274299,1019.3
3,0.017373,0.269747,1042.159
4,0.020017,0.253733,1061.039
5,0.022339,0.250817,1084.559
6,0.026629,0.243979,1111.387
7,0.030259,0.234187,1133.578
8,0.035857,0.223746,1158.747
9,0.042442,0.208725,1187.889
10,0.051645,0.191089,1217.356
11,0.058559,0.166906,1247.491
12,0.059853,0.179002,1235.891
13,0.074286,0.152519,1259.049
14,0.086412,0.134857,1270.284
