,x,T
,0.022639,1948.7089999999998
,0.028902,2073.15
,0.030745,2173.15
,0.03873,2273.15
,0.142824,2273.15
,0.182683,2173.15
,0.209451,2073.15
,0.229859,1949.0679999999998
