Index,x1,x2,T
0,0.009736,0.136935,612.69
1,0.011621,0.131281,644.5
2,0.013819,0.125628,673.42
3,0.016332,0.117148,708.85
4,0.019472,0.10804,747.89
5,0.024183,0.097048,779.7
6,0.030779,0.08103,808.62
7,0.038003,0.068781,823.08
