Index,x1,x2,T
0,0.002341,0.169863,1160.986
1,0.002973,0.166693,1178.118
2,0.003215,0.163732,1200.389
3,0.004467,0.159981,1228.226
4,0.005113,0.156223,1252.638
5,0.005755,0.153062,1274.909
6,0.006608,0.148712,1303.604
7,0.00827,0.14337,1336.152
8,0.010321,0.139016,1363.132
9,0.012784,0.130671,1396.107
10,0.016048,0.121325,1429.509
11,0.020505,0.111972,1458.197
12,0.026567,0.09862,1489.453
13,0.035013,0.08705,1510.854
14,0.043845,0.075468,1524.545
