x,T
0.015307,2005.245
0.018705,2049.262
0.032456,2080.701
0.06289,2123.657
0.065503,2137.439
0.070342,2154.098
0.09775,2154.526
0.135667,2123.343
0.158651,2137.446
0.198937,2080.394
0.212779,2048.887
0.247899,2005.013
