Index,x1,x2,T
0,0.008464,0.222426,1973.337
1,0.014169,0.219497,2070.156
2,0.020611,0.216239,2170.8865
3,0.026576,0.211336,2281.4015
4,0.033085,0.200763,2375.223
5,0.038694,0.175709,2482.2785
6,0.049574,0.159807,2522.9525
7,0.067946,0.131987,2551.1545
