x,T
"0,021741","1972,86"
"0,022098","2073,21"
"0,022454","2173,56"
"0,026782","2273,36"
"0,038442","2373,65"
"0,187525","2372,86"
"0,220163","2272,33"
"0,232332","2172,98"
"0,237474","2072,6"
"0,2417","1972,75"
