,x1,T1
0,0.008464,1700.239
2,0.010427,1739.765
4,0.013167,1779.291
6,0.015555,1814.98
8,0.017906,1854.506
10,0.020611,1897.869
12,0.023671,1944.686
14,0.025606,1987.282
16,0.028304,2031.412
18,0.030983,2077.462
20,0.03404,2124.663
22,0.035595,2166.491
24,0.038694,2209.087
26,0.049574,2249.769
28,0.067946,2277.793
