,x1,T1
1,0.020762,1660.445
2,0.021251,1704.252
3,0.021635,1738.633
4,0.022025,1773.568
5,0.023388,1815.712
6,0.024243,1852.311
7,0.024627,1886.692
8,0.025017,1921.627
9,0.025363,1952.681
10,0.029294,1984.843
11,0.038563,2015.342
