x,gamma
41.5e-2,477.5e-3
46.3e-2,453.8e-3
47.8e-2,443.6e-3
49.1e-2,449.6e-3
53.3e-2,430.2e-3
53.8e-2,418.9e-3
56.7e-2,410.95e-3
58.8e-2,402.7e-3
62.4e-2,388.7e-3
63.4e-2,380.8e-3
